lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
CC Haut Nivernais-Val d'Yonne,133,133,139,192,76,145,818
CC Haut Val de Sèvre,412,357,385,431,223,387,2195
CC Haut-Jura Saint-Claude,389,259,280,334,153,219,1634
CC Haut-Léon Communauté,526,352,411,492,278,480,2539
CC Haute Maurienne Vanoise,142,96,109,82,33,37,499
CC Haute Sarthe Alpes Mancelles,289,238,298,318,187,331,1661
CC Haute Saulx et Perthois-Val d'Ornois,219,171,200,237,126,236,1189
CC Haute Vallée du Thoré,107,60,82,80,45,61,435
CC Haute-Corrèze Communauté,505,348,338,404,192,288,2075
CC Haute-Provence-Pays de Banon,212,148,172,199,107,156,994
CC Hautes Terres,164,104,110,122,55,73,628
CC Houve-Pays Boulageois,301,249,276,343,159,261,1589
CC Inter-Caux-Vexin,566,460,527,660,277,529,3019
CC Interco Normandie Sud Eure,712,626,654,831,409,729,3961
CC Intercom Bernay Terres de Normandie,815,679,813,906,413,990,4616
CC Intercom de la Vire Au Noireau,738,593,643,690,347,662,3673
CC Interrégionale Aumale - Blangy-Sur-Bresle,307,245,329,381,185,359,1806
CC Isigny-Omaha Intercom,410,264,328,370,223,299,1894
CC Isle Double Landais,195,158,201,220,100,213,1087
CC Isle Vern Salembre en Périgord,306,260,294,286,147,299,1592
CC Isle et Crempse en Périgord,193,166,206,247,101,206,1119
CC Jabron-Lure-Vançon-Durance,80,62,96,93,50,71,452
CC Jalle-Eau-Bourde,382,338,357,416,197,277,1967
CC Jura Nord,145,132,131,164,73,115,760
CC Jura Sud,94,95,104,122,61,78,554
CC Lacs et Gorges du Verdon,232,128,110,164,75,124,833
CC Lamballe Terre et Mer,1055,816,848,947,481,745,4892
CC Larzac et Vallées,101,58,69,88,44,42,402
CC Latitude Nord Gironde,387,330,375,441,205,344,2082
CC Lauragais Revel Sorezois,411,304,346,413,171,321,1966
CC Lavalette Tude Dronne,244,214,229,229,116,214,1246
CC Leff Armor Communauté,524,404,467,528,260,382,2565
CC Lieuvin Pays d'Auge,272,222,277,290,138,268,1467
CC Liffré-Cormier Communauté,311,279,299,307,127,202,1525
CC Loches Sud Touraine,770,657,701,778,348,663,3917
CC Lodévois et Larzac,348,287,293,350,149,272,1699
CC Loir-Lucé-Bercé,370,308,318,396,209,432,2033
CC Loire Layon Aubance,704,642,616,737,395,680,3774
CC Loire et Allier,72,50,62,76,26,56,342
CC Loire et Semène,279,227,233,275,155,217,1386
"CC Loire, Nièvre et Bertranges",261,242,210,290,134,222,1359
"CC Loire, Vignobles et Nohain",307,312,394,395,180,345,1933
CC Lot et Tolzac,126,97,109,118,57,94,601
CC Loudéac Communauté - Bretagne Centre,879,598,768,769,349,505,3868
CC Loue-Lison,293,228,245,340,133,175,1414
CC Loué - Brûlon - Noyen,256,213,262,294,137,206,1368
CC Lyon Saint Exupéry en Dauphiné,450,367,433,508,191,273,2222
CC Lyons Andelle,334,237,299,346,180,369,1765
CC Lèze Ariège,517,462,469,565,259,442,2714
CC Mad et Moselle,244,196,230,280,129,198,1277
CC Maine Coeur de Sarthe,218,207,210,258,149,257,1299
CC Maine Saosnois,426,358,411,464,210,405,2274
CC Maison de l'Intercommunalité de Haute Tarentaise,317,181,354,194,63,70,1179
CC Marche Occitane - Val d'Anglin,88,63,65,83,43,69,411
CC Marches du Velay-Rochebaron,446,365,373,445,205,393,2227
CC Maremne Adour Côte Sud,2035,1113,1131,1440,636,785,7140
CC Maurienne Galibier,92,76,73,66,27,26,360
CC Mayenne Communauté,483,367,368,479,222,322,2241
"CC Meurthe, Mortagne, Moselle",203,179,200,252,125,225,1184
CC Meuse Rognon,140,101,123,129,80,110,683
CC Midi Corrézien,189,129,154,217,77,163,929
CC Minervois Saint-Ponais Orb-Jaur,283,210,203,283,151,260,1390
CC Mirebellois et Fontenois,134,101,126,139,84,114,698
CC Mond'arverne Communauté,470,400,444,519,283,433,2549
CC Mont Lozère,96,47,56,56,31,44,330
CC Montfort Communauté,315,272,268,307,160,242,1564
CC Monts d'Arrée Communauté,110,90,123,140,66,131,660
"CC Monts, Rance et Rougier",71,70,55,89,50,71,406
CC Moret Seine et Loing,527,459,411,490,224,335,2446
CC Morvan Sommets et Grands Lacs,130,101,104,146,75,140,696
CC Moselle et Madon,332,260,335,453,168,254,1802
CC Moutierrois Talmondais,633,469,471,590,321,542,3026
CC Mâconnais - Tournugeois,252,205,257,283,128,184,1309
CC Méditerranée Porte des Maures,1150,634,622,855,420,596,4277
CC Médoc Atlantique,773,438,414,665,344,458,3092
CC Médoc Coeur de Presqu'ile,734,534,559,680,308,510,3325
CC Médoc Estuaire,436,336,356,484,170,295,2077
CC Médullienne,355,311,297,408,162,231,1764
CC Mézenc-Loire-Meygal,126,94,139,144,71,104,678
CC Nebbiu - Conca d'Oro,292,89,75,103,28,38,625
CC Neste Barousse,97,80,86,92,53,76,484
CC Nièvre et Somme,446,374,493,584,367,591,2855
CC Norge et Tille,119,109,121,161,73,109,692
CC Normandie-Cabourg-Pays d'Auge,539,389,387,497,235,331,2378
CC Océan Marais de Monts,488,315,267,373,192,271,1906
CC Orée de Bercé - Belinois,214,242,232,294,160,277,1419
CC Osartis Marquion,573,487,634,747,349,461,3251
CC Ouche et Montagne,103,95,104,139,75,113,629
CC Ouest Limousin,144,100,128,153,100,142,767
CC Pays Créçois,428,354,339,377,197,254,1949
"CC Pays Dunois, Pays Sostranien, Bénévent/Grand-Bourg",320,258,280,316,144,236,1554
CC Pays Forcalquier et Montagne de Lure,253,146,201,223,87,152,1062
CC Pays Fort Sancerrois Val de Loire,233,194,224,236,140,248,1275
CC Pays Rhin - Brisach,398,323,318,403,253,320,2015
CC Pays Ségali,184,146,178,213,84,113,918
CC Pays Vaison Ventoux (Copavo),344,233,235,330,186,237,1565
CC Pays d'Apt-Luberon,797,426,550,580,252,438,3043
CC Pays d'Evian Vallée d'Abondance,881,546,585,568,232,254,3066
CC Pays d'Opale,363,333,388,521,227,511,2343
CC Pays d'Orthe et Arrigans,456,344,347,462,192,332,2133
CC Pays d'Uzès,527,409,438,530,240,415,2559
"CC Pays de Boussac, Carrefour des Quatre Provinces, Evaux-Les-Bains/Chambon-Sur-Voueize",258,191,217,231,137,219,1253
CC Pays de Chantonnay,328,283,298,401,145,274,1729
CC Pays de Coulommiers,738,526,633,637,299,352,3185
CC Pays de Fontenay-Vendée,615,521,604,635,271,574,3220
CC Pays de L?audunois et du Bassin de Landres,331,239,303,373,180,289,1715
CC Pays de Montereau,862,665,682,764,302,488,3763
CC Pays de Nay,340,307,324,390,171,290,1822
CC Pays de Nemours,505,393,429,466,228,331,2352
CC Pays de Nexon Monts de Chalus,146,130,146,149,86,141,798
CC Pays de Nérondes,78,61,59,72,38,79,387
CC Pays des Vans en Cévennes,246,167,180,208,99,187,1087
CC Pays du Mont-Blanc,789,535,575,540,223,225,2887
CC Perthois-Bocage et Der,90,53,64,80,42,61,390
CC Petite Montagne,94,63,69,86,41,40,393
CC Picardie des Châteaux,260,272,266,329,200,325,1652
CC Piège Lauragais Malepère,302,247,224,287,127,197,1384
CC Plaine Limagne,295,255,295,352,169,326,1692
CC Plaines et Monts de France,276,237,215,256,111,161,1256
CC Plateau de Caux-Doudeville-Yerville,235,252,271,314,184,288,1544
CC Pleyben-Châteaulin-Porzay,398,294,314,320,186,294,1806
CC Poher Communauté,236,220,247,230,110,192,1235
CC Ponthieu-Marquenterre,631,364,410,560,284,455,2704
CC Pontivy Communauté,803,558,673,692,340,519,3585
CC Porte Océane du Limousin,379,292,325,359,199,405,1959
CC Porte d'Alsace - Largue,297,227,233,319,139,187,1402
CC Porte d'Aquitaine en Pays de Serres,95,51,70,78,47,52,393
CC Porte de Dromardèche,908,689,821,996,422,646,4482
CC Porte de Maurienne,96,68,97,96,44,49,450
CC Porte du Jura,178,136,110,113,52,55,644
CC Portes de la Creuse en Marche,93,63,90,84,53,93,476
CC Portes du Berry Entre Loire et Val d'Aubois,104,117,115,142,88,174,740
CC Presqu'île de Crozon-Aulne Maritime,392,289,319,410,200,325,1935
CC Provence Verdon,413,307,354,420,202,282,1978
CC Pré-Bocage Intercom,343,285,344,327,161,238,1698
CC Pyrénées Audoises,285,181,221,273,103,245,1308
CC Pyrénées Cerdagne,164,110,131,143,68,71,687
CC Pyrénées Haut Garonnaises,328,167,194,230,119,209,1247
CC Pyrénées Vallées des Gaves,479,193,215,248,117,180,1432
CC Pévèle-Carembault,1149,928,1019,1228,608,1037,5969
CC Quercy - Bouriane,185,116,149,170,90,139,849
CC Quercy Vert-Aveyron,363,312,394,428,184,254,1935
CC Questembert Communauté,365,311,302,413,174,306,1871
CC Rahin et Cherimont,166,141,168,185,82,198,940
CC Randon - Margeride,56,37,48,39,20,21,221
CC Retz en Valois,499,381,489,576,282,593,2820
"CC Rhony, Vistre, Vidourle",577,404,396,524,221,355,2477
CC Rhône Crussol,468,426,439,455,236,354,2378
CC Rhône Lez Provence,566,475,487,626,262,471,2887
CC Riom Limagne et Volcans,922,745,815,972,485,894,4833
CC Rives de Moselle,853,664,803,984,448,727,4479
"CC Rives de Saône, Cc Saint Jean de Losne Seurre",303,224,246,342,142,267,1524
CC Rives de l'Ain - Pays du Cerdon,224,164,214,262,102,135,1101
CC Roi Morvan Communauté,392,282,342,438,207,387,2048
CC Roumois Seine,620,546,636,763,402,652,3619
CC Roussillon-Conflent,424,440,329,444,270,355,2262
CC Rurales de l'Entre-Deux-Mers,271,194,229,313,172,262,1441
"CC Région Lézignanaise, Corbières et Minervois",714,511,559,649,337,516,3286
"CC Saint Affricain, Roquefort, Sept Vallons",205,171,202,216,92,143,1029
CC Saint Cyr Mère Boitier Entre Charolais et Mâconnais,78,82,88,90,50,67,455
CC Saint-Pourçain Sioule Limagne,466,397,453,527,257,477,2577
CC Sarlat-Périgord Noir,539,230,259,299,172,212,1711
CC Sarrebourg Moselle Sud,720,519,628,665,294,444,3270
CC Sauer-Pechelbronn,204,162,157,246,106,179,1054
CC Sauldre et Sologne,217,185,193,211,106,185,1097
CC Sausseron Impressionnistes,237,187,174,262,115,169,1144
CC Save Garonne et Côteaux de Cadours,528,444,491,520,211,333,2527
CC Saône Doubs Bresse,157,139,134,199,112,163,904
CC Saône-Beaujolais,645,475,562,687,271,409,3049
CC Seine et Aube,157,123,134,183,95,150,842
CC Senlis Sud Oise,341,256,290,380,178,224,1669
CC Serein et Armance,409,291,316,456,207,337,2016
CC Serre-Ponçon,371,264,305,387,194,223,1744
CC Serre-Ponçon Val d'Avance,131,109,101,153,71,95,660
CC Seulles Terre et Mer,226,175,152,187,100,141,981
CC Sidobre Val d'Agout-Vals et Plateaux des Monts de Lacaune,184,165,191,201,90,144,975
CC Somme Sud-Ouest,546,458,518,600,315,550,2987
CC Sud Côte Chalonnaise,136,113,116,184,94,138,781
CC Sud Nivernais,282,221,240,307,146,264,1460
CC Sud Retz Atlantique,500,383,448,511,266,387,2495
CC Sud Sarthe,424,394,410,478,290,551,2547
CC Sud Vendée Littoral,1006,756,735,953,475,795,4720
CC Sud-Hérault,323,260,291,373,169,287,1703
CC Sud-Roussillon,603,444,420,601,305,490,2863
CC Sumène - Artense,101,87,77,91,59,59,474
CC Sèvre et Loire,624,552,595,740,324,519,3354
CC Tannay-Brinon-Corbigny,82,82,73,107,68,129,541
CC Tarn-Agout,392,347,421,535,194,332,2221
CC Terre Lorraine du Longuyonnais,211,131,194,197,87,190,1010
CC Terre d'Eau,343,200,246,330,174,351,1644
CC Terre de Camargue,760,411,389,518,289,420,2787
CC Terre de Picardie,330,247,333,348,183,333,1774
CC Terres Touloises,657,556,611,676,294,513,3307
CC Terres de Bresse,319,241,281,354,164,280,1639
CC Terres de Chalosse,346,222,264,330,132,205,1499
"CC Terres de Montaigu, Cc Montaigu-Rocheservière",688,553,549,686,292,465,3233
CC Terres de Perche,264,178,232,266,134,203,1277
CC Terres de Saône,176,141,159,201,68,123,868
CC Terres des Confluences,1245,741,913,1098,440,786,5223
CC Terres du Haut Berry,299,266,261,320,211,297,1654
CC Territoriale Sud-Luberon,485,361,389,472,172,295,2174
CC Terroir de Caux,480,415,453,596,307,478,2729
CC Thiers Dore et Montagne,683,558,724,821,408,785,3979
CC Thiérache Sambre et Oise,266,279,332,427,216,447,1967
CC Tille et Venelle,66,59,58,71,39,59,352
CC Touraine Ouest Val de Loire,546,424,486,554,298,533,2841
CC Touraine Val de Vienne,383,293,370,414,229,350,2039
CC Touraine Vallée de l'Indre,675,567,590,694,337,555,3418
CC Touraine-Est Vallées,488,394,470,510,227,354,2443
CC Usses et Rhône,275,212,253,271,98,114,1223
CC Val 81,76,49,56,78,37,59,355
CC Val Briard,431,351,343,396,161,213,1895
CC Val Eyrieux,152,131,127,186,116,155,867
CC Val Guiers,196,177,153,176,86,109,897
CC Val Vanoise Tarentaise,163,93,148,60,16,29,509
CC Val de Charente,231,190,225,253,107,218,1224
CC Val de Gers,133,81,113,103,53,94,577
CC Val de Gray,339,269,302,399,144,258,1711
CC Val de Gâtine,252,246,267,342,155,247,1509
CC Val de Ligne,158,115,112,134,65,141,725
CC Val de Meuse - Voie Sacrée,99,95,101,130,50,109,584
CC Val de Saône Centre,261,188,228,253,105,103,1138
CC Val de l'Indre - Brenne,169,167,177,235,101,175,1024
CC Val Ès Dunes,259,206,229,310,124,196,1324
CC Val'aïgo,283,239,257,291,132,208,1410
CC Val-De-Cher-Controis,788,546,596,761,397,648,3736
CC Vallons de Haute-Bretagne Communauté,533,530,534,670,332,512,3111
CC Vallée de l'Ubaye - Serre-Ponçon,187,123,173,192,91,104,870
CC Vallée de l'hérault,742,689,738,836,336,631,3972
CC Vallée de la Dordogne et Forêt Bessède,189,88,126,161,75,100,739
CC Vallée des Baux-Alpilles (Cc Vba),634,349,398,465,187,291,2324
CC Vallées de l'Orne et de l'Odon,251,260,279,280,156,216,1442
CC Vallées et Plateau d'Ardenne,373,327,351,451,208,451,2161
CC Vals de Saintonge,851,733,824,991,479,916,4794
"CC Vendée, Sèvre, Autise",256,204,215,283,138,193,1289
CC Ventoux Sud,219,138,150,182,83,118,890
CC Vexin Centre,278,245,257,303,148,221,1452
CC Vienne et Gartempe,542,408,506,486,253,377,2572
CC Vierzon-Sologne-Berry,706,582,596,685,339,749,3657
CC Vézère-Monédières-Millesources,61,41,40,50,30,36,258
CC Xaintrie Val'dordogne,156,111,104,165,77,110,723
CC Yonne Nord,361,282,319,370,150,264,1746
CC d'Aire Sur l'Adour,181,155,194,172,89,132,923
CC d'Altkirch et Environs,642,472,530,664,292,405,3005
"CC d'Arcis, Mailly, Ramerupt",154,121,143,216,125,147,906
CC d'Auberive Vingeanne et Montsaugeonnais,133,94,93,131,61,57,569
CC d'Erdre et Gesvres,795,749,694,821,356,547,3962
CC de Bayeux Intercom,652,399,406,505,237,343,2542
CC de Belle Ile en Mer,211,74,72,113,56,64,590
CC de Bièvre Est,320,229,292,325,125,206,1497
CC de Blavet Bellevue Océan,277,197,232,249,139,215,1309
CC de Blaye,390,356,386,452,206,351,2141
CC de Bléré Val de Cher,326,247,256,329,149,253,1560
CC de Brocéliande,229,197,215,254,145,213,1253
CC de Calvi Balagne,1106,204,111,144,54,30,1649
CC de Cambremer,88,58,61,69,31,62,369
CC de Cattenom et Environs,253,229,236,265,109,151,1243
CC de Charente Limousine,443,367,439,540,267,432,2488
CC de Commercy - Void - Vaucouleurs,345,314,325,401,184,341,1910
CC de Cèze Cévennes,417,335,379,430,197,432,2190
CC de Damvillers Spincourt,108,101,117,122,64,83,595
CC de Desvres-Samer,330,255,297,410,200,324,1816
CC de Domme- Villefranche du Périgord,189,84,111,137,69,104,694
CC de Fium'orbu Castellu,386,185,157,204,72,89,1093
CC de Flandre Intérieure,1445,1151,1318,1531,697,1049,7191
CC de Forez-Est,866,686,739,906,366,556,4119
CC de Freyming-Merlebach,710,526,644,765,328,589,3562
CC de Gevrey-Chambertin et de Nuits-Saint-Georges,338,288,319,369,177,260,1751
CC de Grand Lieu,490,504,471,564,254,397,2680
"CC de Granville, Terre et Mer",727,567,578,702,319,525,3418
CC de Gâtine et Choisilles - Pays de Racan,286,237,252,279,149,262,1465
CC de Gémozac et de la Saintonge Viticole,232,218,241,293,133,228,1345
CC de Hanau- la Petite Pierre,354,253,313,390,159,306,1775
CC de Haute Cornouaille,237,181,209,250,111,228,1216
CC de Lacq-Orthez,794,616,735,861,404,704,4114
CC de Londinières,58,76,75,99,40,88,436
CC de Lévézou Pareloup,43,47,37,46,23,30,226
CC de Marana-Golo,592,313,292,331,125,147,1800
CC de Marie-Galante,287,267,217,293,128,315,1507
CC de Millau Grands Causses,665,461,516,554,244,375,2815
CC de Mimizan,311,223,223,286,127,171,1341
CC de Mirecourt Dompaire,284,190,203,265,119,299,1360
CC de Miribel et du Plateau,310,260,288,296,136,168,1458
CC de Montaigne Montravel et Gurson,186,170,186,233,119,173,1067
CC de Montbenoit,90,64,66,100,33,47,400
CC de Montesquieu,587,490,511,591,260,381,2820
CC de Noblat,117,118,143,170,102,181,831
CC de Parthenay-Gâtine,521,455,490,616,328,516,2926
CC de Petite Camargue,658,514,476,674,298,426,3046
CC de Ploërmel Communauté,704,500,626,608,267,453,3158
"CC de Podensac, des Coteaux de Garonne et de Lestiac-Sur-Garonne,paillet,rions",606,453,478,573,296,472,2878
CC de Pont-Audemer / Val de Risle,505,401,485,526,230,479,2626
CC de Portes Sud Périgord,111,101,106,137,58,102,615
CC de Pouilly en Auxois/Bligny Sur Ouche,130,83,87,111,55,106,572
CC de Puisaye-Forterre,465,340,433,521,231,425,2415
CC de Sablé-Sur-Sarthe,544,448,504,563,263,481,2803
CC de Saint-Méen Montauban,343,274,291,355,182,281,1726
CC de Saulieu,72,69,61,93,52,84,431
CC de Saverne-Marmoutier-Sommerau,552,398,515,573,238,422,2698
CC de Seille et Mauchère ? Grand Couronné,194,172,182,238,117,161,1064
CC de Suippe et Vesle,83,74,74,87,37,68,423
CC de Sélestat,665,482,597,691,317,492,3244
CC de Sézanne-Sud Ouest Marnais,319,211,334,381,155,260,1660
CC de Vendeuvre-Soulaines,136,81,101,161,80,127,686
CC de Ventadour - Egletons - Monédières,137,125,119,123,76,116,696
CC de Vezouze en Piémont,146,121,179,196,123,259,1024
CC de Vie et Boulogne,655,518,588,699,315,500,3275
CC de Villedieu Intercom,219,156,188,223,110,181,1077
"CC de Vitry, Champagne et Der",445,332,430,516,211,385,2319
CC de Yenne,103,66,76,105,35,65,450
CC de l'Agglomération Migennoise,305,233,263,304,138,195,1438
CC de l'Aillantais,107,93,119,134,66,105,624
CC de l'Aire Cantilienne,580,433,512,608,240,406,2779
CC de l'Alsace Bossue,343,256,345,337,182,334,1797
CC de l'Alta Rocca,405,103,79,92,25,36,740
CC de l'Arc Mosellan,434,311,318,450,210,280,2003
CC de l'Argonne Ardennaise,215,192,195,261,94,156,1113
CC de l'Argonne Champenoise,162,127,168,200,74,144,875
CC de l'Ernée,255,192,219,238,89,149,1142
CC de l'Est Guyanais,163,161,175,170,52,103,824
CC de l'Est Lyonnais (Ccel),425,388,429,462,232,280,2216
CC de l'Est de la Somme,374,307,428,479,260,473,2321
CC de l'Estuaire - Canton de Saint Ciers Sur Gironde,322,282,317,387,167,311,1786
CC de l'Ile d'Oléron,793,415,320,442,210,268,2448
CC de l'Ile de Noirmoutier,260,116,117,157,74,126,850
CC de l'Ile de Ré,635,215,213,292,142,227,1724
CC de l'Ile-Rousse - Balagne,635,154,97,121,39,35,1081
CC de l'Oisans,197,178,228,240,83,80,1006
CC de l'Oise Picarde,437,340,412,514,245,414,2362
CC de l'Oriente,174,68,62,66,23,36,429
CC de l'Orvin et de l'Ardusson,126,113,130,148,68,123,708
CC de l'Ouest Corse,405,77,65,78,39,49,713
CC de l'Ouest Guyanais,1259,1041,1156,1066,457,528,5507
CC de l'Ouest Vosgien,345,292,309,372,214,380,1912
CC de l'Oust À Brocéliande Communauté,568,410,500,592,236,418,2724
CC de l'Outre-Forêt,219,144,188,246,101,165,1063
CC de la Baie du Cotentin,344,296,324,370,191,263,1788
CC de la Basse-Zorn,171,140,145,180,98,147,881
CC de la Beauce Loirétaine,189,164,165,203,129,210,1060
CC de la Brie Champenoise,103,78,97,124,46,77,525
CC de la Castagniccia-Casinca,310,187,174,198,87,102,1058
CC de la Champagne Conlinoise et du Pays de Sillé,264,224,233,305,153,263,1442
CC de la Champagne Picarde,268,264,273,362,195,418,1780
CC de la Châtaigneraie Cantalienne,234,160,177,222,100,155,1048
CC de la Châtre et Sainte Sévère,223,180,217,232,129,203,1184
"CC de la Cléry, du Betz et de l'Ouanne",301,242,312,329,177,300,1661
CC de la Costa Verde,294,136,126,149,66,77,848
CC de la Côtière À Montluel,345,271,333,346,138,157,1590
CC de la Dombes,507,382,394,484,178,210,2155
CC de la Forêt,179,171,191,206,125,179,1051
CC de la Gascogne Toulousaine,286,256,238,266,125,181,1352
CC de la Grande Vallée de la Marne,187,155,184,182,99,187,994
CC de la Haute Ariège,147,95,124,134,51,92,643
CC de la Haute Comté,318,212,243,289,112,249,1423
CC de la Haute Deûle,338,284,299,362,177,388,1848
CC de la Haute Saintonge,1107,973,1003,1262,606,985,5936
CC de la Haute Somme,506,372,507,613,305,719,3022
CC de la Haute Vallée de Chevreuse,216,172,210,213,82,125,1018
CC de la Haute Vallée de l'Ognon,138,118,99,152,45,144,696
CC de la Haute Vallée de la Gravona,197,115,108,112,29,55,616
CC de la Haute-Bigorre,326,213,285,303,138,285,1550
CC de la Lomagne Gersoise,307,241,289,326,139,198,1500
CC de la Lomagne Tarn-Et-Garonnaise,171,139,145,157,82,81,775
CC de la Marche Berrichonne,52,52,54,60,34,49,301
CC de la Matheysine,322,207,207,273,123,207,1339
CC de la Moivre À la Coole,79,83,90,86,43,78,459
CC de la Montagne Noire,109,85,66,125,48,101,534
CC de la Montagne d'Ardèche,60,41,33,59,38,45,276
CC de la Mossig et du Vignoble,279,221,259,319,137,230,1445
CC de la Muse et des Raspes du Tarn,77,57,71,65,33,42,345
CC de la Picardie Verte,467,387,439,591,228,474,2586
CC de la Pieve de l'Ornano,368,157,133,140,45,79,922
CC de la Plaine Dijonnaise,250,202,230,279,167,261,1389
CC de la Plaine Jurassienne,127,82,102,98,60,92,561
CC de la Plaine d'Estrées,201,184,223,275,121,200,1204
CC de la Plaine de l'Ain,1329,1020,1193,1226,492,590,5850
CC de la Plaine du Nord Loiret,103,66,73,105,47,82,476
CC de la Plaine du Rhin,163,142,138,191,100,180,914
CC de la Porte des Vosges Méridionales,503,357,457,515,247,486,2565
CC de la Région d'Audruicq,387,385,356,456,238,390,2212
CC de la Région d'Orgelet,82,45,47,67,27,31,299
CC de la Région d'Yvetot,377,325,366,420,218,408,2114
CC de la Région de Bar Sur Aube,223,138,176,224,89,224,1074
CC de la Région de Blain,250,214,211,247,124,199,1245
CC de la Région de Condrieu,215,179,177,226,101,148,1046
CC de la Région de Guebwiller,627,443,522,653,290,443,2978
CC de la Région de Levroux,90,76,77,97,44,81,465
CC de la Région de Molsheim-Mutzig,500,419,519,546,265,392,2641
CC de la Région de Nozay,240,167,206,237,111,191,1152
CC de la Région de Rambervillers,208,178,183,225,105,235,1134
CC de la Save Au Touch,589,503,594,631,270,380,2967
CC de la Sologne des Etangs,120,82,87,117,50,104,560
CC de la Sologne des Rivières,160,126,142,191,88,168,875
CC de la Station des Rousses-Haut Jura,153,96,118,127,42,49,585
CC de la Tenarèze,270,200,217,243,127,185,1242
CC de la Terre des Deux Caps,335,270,315,371,200,350,1841
CC de la Thiérache du Centre,430,421,483,529,230,542,2635
CC de la Vallée Verte,113,94,99,106,42,36,490
CC de la Vallée d'Ossau,202,102,126,157,68,124,779
CC de la Vallée de Chamonix-Mont-Blanc,311,205,203,179,69,61,1028
CC de la Vallée de Kaysersberg,183,153,192,221,111,147,1007
CC de la Vallée de Munster,226,142,176,222,103,193,1062
CC de la Vallée de Saint-Amarin,162,118,184,197,79,134,874
CC de la Vallée de Villé,127,96,111,126,54,109,623
CC de la Vallée de l'Oise et des Trois Forêts,473,411,407,462,221,278,2252
CC de la Vallée de l'homme,405,197,187,273,98,186,1346
CC de la Vallée de la Bruche,259,212,290,374,160,327,1622
CC de la Vallée de la Doller et du Soultzbach,212,166,191,266,106,134,1075
CC de la Vallée de la Haute Sarthe,93,90,83,103,50,67,486
CC de la Vallée du Gapeau,530,344,402,437,187,309,2209
CC de la Vallée du Garon (Ccvg),365,284,339,378,150,187,1703
CC de la Vallée du Lot et du Vignoble,226,156,223,243,105,239,1192
CC de la Vanne et du Pays d'Othe,113,107,120,161,65,105,671
CC de la Veyle,295,228,250,288,141,184,1386
CC des 2 Vallées,217,135,162,194,90,105,903
CC des 4 Rivières,473,372,392,495,247,417,2396
CC des 4b Sud Charente,293,267,275,324,181,267,1607
CC des 7 Vallées,478,381,414,528,261,370,2432
CC des Albères et de la Côte Vermeille,1828,1125,1002,1377,647,981,6960
CC des Aspres,503,419,384,482,236,420,2444
CC des Ballons des Hautes-Vosges,246,192,222,257,144,297,1358
CC des Baronnies en Drôme Provençale,481,346,390,465,246,374,2302
CC des Bastides Dordogne-Périgord,308,209,205,321,137,233,1413
CC des Bastides en Haut Agenais Périgord,250,154,233,268,119,210,1234
CC des Campagnes de l'Artois,424,363,364,450,215,340,2156
CC des Causses À l'Aubrac,164,138,130,174,79,123,808
CC des Collines du Nord Dauphiné,292,262,274,306,122,146,1402
CC des Collines du Perche,76,63,76,75,49,88,427
